Product_Type,Brand,Build_Quality,User_Lifespan,Usage_Pattern,Expiry_Years,Condition,Original_Price,Used_Duration,Current_Price
Washing Machine,Samsung,4,10.5,Light,11.3,1,20806,5,4639.92
Laptop,Acer,2,5.8,Moderate,6.1000000000000005,3,77437,5,9774.83
Refrigerator,LG,4,11.7,Heavy,12.2,4,74586,10,11432.44
TV,LG,2,8.5,Moderate,8.8,4,41987,1,31633.39
Refrigerator,LG,1,9.6,Heavy,9.499999999999998,5,31001,5,14684.68
Refrigerator,Godrej,2,9.9,Moderate,10.200000000000001,4,20199,4,10436.15
TV,TCL,4,14.9,Moderate,15.600000000000001,4,166155,5,95965.16
Smartwatch,Samsung,1,3.9,Light,4.1,2,18906,4,500.0
Smartwatch,Noise,5,3.5,Light,4.5,4,25759,1,17029.56
Smartwatch,Noise,2,4.2,Heavy,4.300000000000001,5,44460,10,500.0
Smartphone,Apple,1,2.7,Moderate,2.8000000000000003,3,63388,1,28524.6
Smartwatch,Samsung,5,3.6,Moderate,4.5,5,23577,5,500.0
Laptop,HP,3,5.2,Moderate,5.700000000000001,4,113996,2,62897.79
Washing Machine,Samsung,4,12.1,Heavy,12.6,3,45261,5,19110.2
Washing Machine,Bosch,3,13.8,Moderate,14.3,2,56611,4,22426.67
Tablet,Lenovo,4,6.7,Heavy,7.2,5,30310,2,21890.56
Washing Machine,LG,5,9.8,Heavy,10.5,3,36122,3,18061.0
Tablet,Samsung,1,5.9,Heavy,5.800000000000001,5,24350,5,3358.62
Laptop,Acer,5,6.2,Moderate,7.1000000000000005,3,70385,1,42330.13
Smartwatch,Samsung,4,2.1,Heavy,2.6000000000000005,3,33513,1,14436.37
Smartwatch,Amazfit,4,3.6,Moderate,4.300000000000001,3,9177,2,3436.04
Laptop,Lenovo,2,5.9,Light,6.300000000000001,4,108481,8,500.0
Smartwatch,Boat,1,3.0,Heavy,2.9000000000000004,4,3668,4,500.0
Washing Machine,Whirlpool,2,9.5,Heavy,9.6,1,50830,8,3388.67
Refrigerator,LG,4,11.4,Light,12.200000000000001,4,73663,10,11290.97
Refrigerator,Whirlpool,1,8.1,Heavy,7.999999999999999,3,68474,8,500.0
Tablet,Lenovo,5,5.0,Light,6.0,2,16883,8,500.0
Washing Machine,Samsung,1,12.9,Light,13.1,3,35329,1,22842.49
Tablet,Samsung,5,4.3,Moderate,5.2,4,66205,8,500.0
Laptop,Asus,3,3.9,Light,4.5,3,41395,9,500.0
Washing Machine,IFB,3,13.9,Moderate,14.4,1,21400,8,3804.44
Laptop,Dell,2,5.1,Light,5.5,4,147522,3,56997.14
Refrigerator,LG,1,9.9,Light,10.1,4,74802,10,629.52
Tablet,Huawei,3,6.4,Heavy,6.7,5,47875,1,40729.48
Smartwatch,Boat,5,2.6,Light,3.6,2,23992,2,5864.71
Washing Machine,Samsung,2,10.4,Moderate,10.700000000000001,5,36544,1,33128.67
Smartphone,Vivo,2,3.1,Light,3.5,4,81391,9,500.0
Laptop,HP,5,4.6,Light,5.6,2,62392,4,9804.46
Laptop,Asus,2,5.9,Heavy,6.000000000000001,4,119956,6,500.0
Smartphone,Samsung,5,4.0,Heavy,4.7,1,92711,5,500.0
Washing Machine,Bosch,2,11.4,Heavy,11.5,2,48675,7,10475.71
Smartwatch,Noise,2,3.0,Moderate,3.3,3,37187,9,500.0
Smartwatch,Boat,3,4.3,Moderate,4.800000000000001,5,10080,3,3780.0
Tablet,Huawei,5,7.0,Moderate,7.9,1,71932,10,500.0
Washing Machine,IFB,4,13.5,Moderate,14.200000000000001,5,41657,8,18188.27
Refrigerator,LG,3,9.3,Light,9.9,2,40787,3,15635.02
Smartphone,Realme,2,2.5,Heavy,2.6,1,59454,4,500.0
Washing Machine,LG,4,10.9,Light,11.700000000000001,2,38642,4,13987.08
Smartphone,Vivo,2,4.6,Light,5.0,2,63315,8,500.0
Smartphone,Realme,5,3.4,Heavy,4.1000000000000005,3,60922,4,1040.13
Smartwatch,Apple,3,3.4,Heavy,3.7,4,13629,9,500.0
Smartwatch,Noise,3,2.5,Moderate,3.0,2,48747,6,500.0
Laptop,HP,2,6.3,Light,6.7,3,113157,8,500.0
Smartphone,Realme,2,3.5,Heavy,3.6,3,57759,2,17969.47
Smartwatch,Amazfit,5,4.0,Light,5.0,5,12820,4,2564.0
Refrigerator,LG,1,12.1,Moderate,12.2,2,26471,10,2625.4
Laptop,Acer,3,5.2,Light,5.800000000000001,5,128909,2,84457.62
Smartwatch,Boat,3,3.1,Heavy,3.4000000000000004,5,47050,3,5535.29
Tablet,Lenovo,2,6.9,Moderate,7.200000000000001,5,17530,1,15095.28
Tablet,Huawei,2,6.2,Heavy,6.300000000000001,3,70730,3,25934.33
Smartwatch,Noise,3,3.4,Light,4.0,4,33012,5,500.0
TV,Samsung,5,14.8,Heavy,15.5,5,192617,1,180190.1
Laptop,HP,5,4.5,Heavy,5.2,5,106807,9,500.0
Laptop,Apple,1,6.2,Light,6.4,2,87145,9,500.0
Smartwatch,Noise,5,3.0,Light,4.0,5,49972,5,500.0
Washing Machine,Whirlpool,2,12.5,Light,12.9,2,26065,1,13224.45
Refrigerator,Whirlpool,2,13.7,Light,14.1,4,39971,1,31565.75
TV,Sony,4,15.0,Moderate,15.700000000000001,5,189023,10,68626.18
TV,Samsung,1,8.5,Heavy,8.399999999999999,5,57629,1,50768.4
Smartphone,Vivo,3,2.5,Moderate,3.0,5,55285,6,500.0
Laptop,Lenovo,1,3.5,Heavy,3.4000000000000004,4,83343,10,500.0
Smartphone,Apple,2,3.8,Moderate,4.1000000000000005,3,112237,4,1916.24
Smartphone,Xiaomi,4,2.2,Light,3.0,1,30053,6,500.0
Smartphone,Xiaomi,5,4.6,Moderate,5.5,2,92450,10,500.0
Washing Machine,Samsung,5,12.4,Heavy,13.1,1,41341,2,14011.76
Tablet,Lenovo,1,5.5,Light,5.7,1,56739,10,500.0
TV,Sony,4,12.8,Moderate,13.500000000000002,2,170889,1,87026.81
Refrigerator,Godrej,5,11.1,Moderate,12.0,3,40835,7,11910.21
Smartwatch,Noise,3,4.8,Light,5.4,1,39333,8,500.0
Laptop,Apple,2,5.5,Moderate,5.800000000000001,5,83273,7,500.0
Refrigerator,LG,2,8.7,Moderate,9.0,4,31232,3,17698.13
TV,OnePlus,2,12.5,Moderate,12.8,5,117914,4,81065.88
Refrigerator,Bosch,5,12.2,Moderate,13.1,1,72996,2,24740.63
Smartphone,Samsung,4,3.4,Heavy,3.9000000000000004,2,40203,1,16442.0
TV,Sony,2,10.5,Moderate,10.8,3,52685,10,2731.81
Tablet,Lenovo,2,5.2,Heavy,5.300000000000001,1,60768,4,5962.14
Tablet,Apple,5,5.8,Moderate,6.7,4,77032,1,55704.48
Washing Machine,Samsung,2,12.9,Light,13.3,3,47641,4,23319.02
Laptop,Lenovo,4,4.9,Heavy,5.4,1,78060,2,19659.56
TV,Samsung,2,13.4,Moderate,13.700000000000001,1,90287,3,28206.45
Laptop,Lenovo,4,5.5,Moderate,6.2,3,144588,2,68562.7
Refrigerator,Godrej,1,9.2,Moderate,9.299999999999999,2,66524,1,32653.98
Smartwatch,Amazfit,2,4.8,Moderate,5.1000000000000005,2,8129,10,500.0
Smartphone,OnePlus,3,3.6,Moderate,4.1000000000000005,4,67484,2,29380.23
Tablet,Samsung,5,5.5,Heavy,6.2,2,31450,8,500.0
Smartphone,Apple,1,3.8,Moderate,3.9,5,66167,6,500.0
Tablet,Samsung,3,6.7,Heavy,7.000000000000001,4,66397,6,8062.49
Tablet,Huawei,2,4.9,Light,5.300000000000001,4,59949,7,500.0
TV,Sony,2,10.8,Heavy,10.9,4,89396,8,20216.62
Tablet,Huawei,2,4.0,Moderate,4.300000000000001,5,50929,7,500.0
Smartphone,Vivo,5,3.0,Light,4.0,1,84906,2,16981.2
Laptop,Dell,2,6.0,Moderate,6.300000000000001,4,111105,2,64458.54
Smartphone,Vivo,1,2.4,Moderate,2.5,3,65470,6,500.0
Laptop,HP,5,5.2,Light,6.2,3,79662,5,10792.92
Smartwatch,Apple,1,3.4,Heavy,3.3000000000000003,1,8140,4,500.0
TV,TCL,5,12.3,Moderate,13.200000000000001,1,19969,3,6172.24
Smartwatch,Noise,2,4.0,Heavy,4.1000000000000005,2,20479,2,5769.08
Smartphone,Samsung,4,2.7,Heavy,3.2,5,10643,5,500.0
TV,OnePlus,1,14.2,Moderate,14.299999999999999,5,94478,3,74657.44
Smartphone,Realme,2,4.0,Moderate,4.300000000000001,3,91758,7,500.0
Washing Machine,Bosch,2,10.8,Moderate,11.100000000000001,3,17543,3,8961.15
Laptop,HP,2,4.0,Light,4.4,3,116602,3,25970.45
Washing Machine,IFB,2,9.3,Heavy,9.4,3,31153,2,17167.29
Laptop,HP,5,4.3,Moderate,5.2,4,70099,3,25208.68
Smartphone,Samsung,2,3.7,Moderate,4.000000000000001,2,31586,9,500.0
Laptop,Lenovo,3,6.8,Moderate,7.300000000000001,1,64730,8,500.0
Smartwatch,Apple,2,2.8,Light,3.1999999999999997,1,38773,7,500.0
TV,LG,4,8.2,Moderate,8.9,1,17037,6,2220.55
Tablet,Lenovo,2,4.2,Moderate,4.500000000000001,3,46495,4,3616.28
TV,OnePlus,4,12.8,Heavy,13.3,3,49345,10,8570.45
Smartphone,Samsung,2,3.5,Light,3.9,5,76750,7,500.0
Refrigerator,Samsung,3,12.4,Moderate,12.9,5,52974,7,24228.42
Washing Machine,Bosch,4,11.4,Heavy,11.9,2,54534,2,24952.74
Refrigerator,Samsung,1,13.3,Heavy,13.2,4,50752,8,16994.23
Washing Machine,Bosch,1,14.0,Light,14.2,2,51679,8,12410.24
Refrigerator,Whirlpool,4,10.6,Heavy,11.1,3,47804,9,6330.8
Tablet,Lenovo,5,6.1,Light,7.1,5,26582,7,500.0
Washing Machine,Bosch,5,12.0,Light,13.0,3,43149,9,9293.63
Tablet,Lenovo,5,3.9,Light,4.9,4,20568,10,500.0
Refrigerator,Bosch,4,8.8,Moderate,9.500000000000002,2,53956,6,10933.19
Smartphone,OnePlus,1,3.1,Light,3.3000000000000003,3,103048,4,500.0
TV,Samsung,1,9.4,Moderate,9.5,2,98192,7,14212.0
Smartphone,Vivo,4,4.5,Heavy,5.0,5,32669,10,500.0
Smartphone,Realme,5,3.1,Moderate,3.9999999999999996,2,73929,1,30495.71
Refrigerator,LG,4,9.5,Moderate,10.200000000000001,2,39220,7,6767.37
Tablet,Lenovo,5,5.9,Moderate,6.800000000000001,1,15868,10,500.0
TV,TCL,5,13.1,Heavy,13.799999999999999,2,103346,8,23889.4
Washing Machine,Samsung,2,13.6,Moderate,13.9,2,37679,2,17741.66
Refrigerator,Whirlpool,1,10.9,Moderate,11.0,3,58443,4,26033.7
Tablet,Apple,4,5.8,Light,6.6,5,30738,2,21423.45
Washing Machine,Samsung,5,12.9,Light,13.9,5,31745,10,8906.87
Smartphone,Realme,2,3.9,Moderate,4.2,2,20246,5,500.0
Smartphone,Samsung,2,2.0,Heavy,2.1,4,78432,9,500.0
Tablet,Apple,5,5.0,Heavy,5.7,1,30835,8,500.0
Smartphone,Xiaomi,4,4.7,Light,5.5,4,76504,5,5911.67
Tablet,Samsung,3,4.3,Light,4.9,1,59766,5,500.0
Washing Machine,IFB,2,10.0,Moderate,10.3,5,26924,8,6012.16
Tablet,Apple,2,5.9,Heavy,6.000000000000001,1,63624,5,4241.6
Refrigerator,Bosch,1,9.7,Moderate,9.799999999999999,3,30082,7,6016.4
Washing Machine,Whirlpool,5,12.3,Light,13.3,4,55586,9,15275.7
Laptop,Apple,5,3.7,Light,4.7,3,149355,2,60059.78
Smartwatch,Amazfit,3,2.7,Heavy,3.0000000000000004,1,38036,10,500.0
Tablet,Apple,1,5.4,Moderate,5.500000000000001,2,74089,10,500.0
Laptop,Apple,4,5.9,Moderate,6.6000000000000005,1,73668,9,500.0
Washing Machine,Whirlpool,3,13.1,Moderate,13.6,3,35159,10,6514.76
Smartwatch,Noise,1,3.2,Moderate,3.3000000000000003,3,20934,5,500.0
Smartphone,Realme,3,2.3,Moderate,2.8,2,22395,8,500.0
Washing Machine,Whirlpool,3,14.3,Light,14.9,5,24229,2,20976.79
Tablet,Huawei,4,4.5,Heavy,5.0,5,69611,3,27844.4
Smartphone,OnePlus,5,2.3,Heavy,3.0,4,11145,3,500.0
Refrigerator,Godrej,3,9.0,Light,9.6,5,30964,5,14836.92
Smartphone,Vivo,4,3.3,Light,4.1,2,100174,5,500.0
Smartphone,Apple,5,4.7,Moderate,5.6000000000000005,3,116592,5,8744.4
Laptop,Asus,3,4.0,Light,4.6,5,108949,5,500.0
Laptop,Acer,1,4.7,Moderate,4.800000000000001,1,82711,8,500.0
Laptop,Apple,3,3.6,Moderate,4.1000000000000005,2,80046,8,500.0
Smartwatch,Amazfit,4,2.1,Heavy,2.6000000000000005,3,37850,6,500.0
Smartphone,Apple,1,2.9,Light,3.1,4,75707,10,500.0
Smartwatch,Samsung,5,2.4,Heavy,3.1,3,16688,5,500.0
TV,Samsung,4,11.8,Light,12.600000000000001,4,147091,9,35722.1
TV,LG,2,8.5,Light,8.9,1,158485,9,500.0
Tablet,Lenovo,4,5.8,Light,6.6,2,14743,1,6880.07
Smartphone,Realme,2,3.1,Light,3.5,3,21294,6,500.0
Smartphone,Realme,2,2.2,Light,2.6,3,113921,7,500.0
Laptop,Asus,4,6.0,Heavy,6.5,4,109017,1,78408.38
Tablet,Samsung,4,4.2,Light,5.0,1,41317,3,6610.72
Laptop,Acer,4,6.5,Light,7.3,2,80573,7,1821.17
Washing Machine,Whirlpool,5,8.7,Heavy,9.399999999999999,1,15218,4,3496.9
TV,OnePlus,2,11.6,Light,12.0,5,157703,2,131419.17
Refrigerator,Samsung,4,10.5,Heavy,11.0,2,33300,2,14985.0
Refrigerator,Godrej,2,12.7,Moderate,13.0,4,57414,8,18769.96
TV,Samsung,1,8.2,Heavy,8.099999999999998,5,41021,3,25828.04
Washing Machine,Whirlpool,4,11.0,Moderate,11.700000000000001,4,23711,4,13263.97
Smartphone,Realme,5,3.8,Light,4.8,4,85145,5,500.0
Washing Machine,LG,5,14.6,Heavy,15.299999999999999,2,58972,10,11235.52
Tablet,Apple,5,5.0,Moderate,5.9,4,38202,6,500.0
Refrigerator,Godrej,3,12.4,Light,13.0,4,58901,9,15404.88
Tablet,Lenovo,4,4.4,Light,5.2,4,68221,2,35684.83
Tablet,Apple,2,6.2,Heavy,6.300000000000001,1,69962,1,23542.77
Laptop,Apple,3,4.8,Light,5.4,3,80316,2,35398.53
TV,Samsung,3,11.6,Light,12.2,2,141174,9,20366.09
Laptop,Apple,3,4.7,Moderate,5.200000000000001,1,135279,3,22893.37
Refrigerator,LG,2,11.7,Heavy,11.799999999999999,4,31133,5,15249.89
Smartphone,Apple,5,3.0,Heavy,3.7,3,45962,3,6086.86
Refrigerator,Godrej,4,14.7,Heavy,15.2,2,38017,5,14031.27
Tablet,Huawei,3,4.0,Light,4.6,3,25880,5,500.0
TV,TCL,1,13.3,Moderate,13.4,5,133484,6,73715.04
Refrigerator,LG,5,10.6,Moderate,11.5,3,38203,4,17440.5
Washing Machine,Whirlpool,2,15.0,Heavy,15.1,5,15254,9,6162.21
TV,Samsung,4,10.1,Heavy,10.6,1,95828,1,34715.05
Smartphone,Vivo,3,4.5,Moderate,5.0,5,27401,1,21920.8
Laptop,HP,5,3.5,Heavy,4.2,3,126893,6,500.0
Smartwatch,Noise,5,2.2,Heavy,2.9000000000000004,1,44614,5,500.0
Washing Machine,Samsung,2,13.9,Moderate,14.200000000000001,4,25596,10,6435.05
Tablet,Huawei,3,4.6,Light,5.199999999999999,4,66898,1,45928.05
Smartphone,Realme,3,2.3,Moderate,2.8,5,114196,6,500.0
Tablet,Huawei,1,6.8,Heavy,6.7,4,29953,9,500.0
TV,Sony,3,9.9,Light,10.5,2,130180,10,3409.48
Laptop,Asus,4,3.9,Moderate,4.6000000000000005,4,104534,3,30905.7
Refrigerator,Whirlpool,4,9.8,Light,10.600000000000001,4,74173,1,57099.22
Smartwatch,Apple,2,2.3,Heavy,2.4,5,37528,6,500.0
Laptop,Dell,4,4.1,Heavy,4.6,5,127952,4,16689.39
Smartphone,Xiaomi,2,4.2,Moderate,4.500000000000001,5,96506,5,500.0
Refrigerator,Godrej,2,12.7,Moderate,13.0,2,21170,5,7165.23
Laptop,Acer,2,6.7,Light,7.1000000000000005,4,46869,2,28616.5
Smartwatch,Apple,1,2.1,Moderate,2.2,3,7444,8,500.0
TV,Samsung,5,9.4,Light,10.4,1,134923,7,17643.78
Refrigerator,Whirlpool,4,14.1,Moderate,14.8,2,78442,10,13992.36
Washing Machine,Samsung,5,11.5,Light,12.5,1,38228,4,10398.02
Tablet,Samsung,2,3.9,Heavy,4.0,5,57828,7,500.0
Smartphone,Vivo,2,4.7,Moderate,5.000000000000001,2,100064,3,22014.08
Washing Machine,IFB,5,13.6,Heavy,14.299999999999999,3,52610,1,34251.69
Tablet,Lenovo,3,3.7,Heavy,4.000000000000001,3,68543,9,500.0
Washing Machine,Whirlpool,4,9.0,Light,9.8,3,46905,8,6030.64
Refrigerator,Whirlpool,5,14.1,Light,15.1,1,23390,1,8736.4
Smartwatch,Apple,5,4.0,Light,5.0,3,42078,7,500.0
Tablet,Apple,1,4.4,Light,4.6000000000000005,4,40932,8,500.0
Tablet,Apple,3,6.4,Moderate,6.9,3,16657,7,500.0
Refrigerator,Bosch,4,14.7,Heavy,15.2,2,31049,10,5842.11
Smartphone,Xiaomi,5,4.3,Moderate,5.2,1,73088,10,500.0
Washing Machine,LG,5,9.6,Heavy,10.299999999999999,2,34691,2,15375.19
Washing Machine,LG,3,8.0,Heavy,8.299999999999999,1,46707,9,500.0
Tablet,Apple,4,6.3,Light,7.1,3,79626,9,500.0
Laptop,Acer,4,6.0,Heavy,6.5,2,134742,1,62706.85
